,순위,선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,선수ID
24,24,김민규,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,68200
25,24,박지훈,두산,0.000,10,2,2,1,0,0,0,0,0,0,0,0,50204
26,24,오명진,두산,0.000,5,4,4,0,0,0,0,0,0,0,0,0,50208
27,24,이승민,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,68211
28,24,이형범,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,62951
29,24,조제영,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,50296
30,24,함덕주,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,63248
31,1,신용수,롯데,0.429,5,8,7,2,3,0,0,0,3,2,0,0,69508
32,2,손아섭,롯데,0.352,91,399,347,67,122,27,0,7,170,59,1,6,77532
33,3,김민수,롯데,0.333,2,7,6,1,2,0,0,0,2,0,0,0,67504
34,4,정훈,롯데,0.315,64,294,254,52,80,14,1,8,120,42,1,2,60523
35,5,마차도,롯데,0.306,92,370,327,49,100,23,1,9,152,51,1,5,50506
36,6,전준우,롯데,0.290,91,409,372,63,108,23,1,16,181,60,2,1,78513
37,7,이대호,롯데,0.289,92,392,349,42,101,19,0,14,162,69,0,6,71564
38,8,오윤석,롯데,0.288,25,69,59,8,17,3,0,0,20,9,0,0,64504
39,9,안치홍,롯데,0.270,87,356,319,36,86,22,0,4,120,35,3,2,79608
40,10,한동희,롯데,0.267,83,322,281,34,75,12,0,11,120,41,4,3,68525
41,11,김재유,롯데,0.250,36,66,56,10,14,1,0,0,15,5,1,0,65506
42,11,지성준,롯데,0.250,3,11,8,0,2,0,0,0,2,2,0,0,64717
43,13,김준태,롯데,0.230,78,210,174,21,40,5,1,3,56,23,2,1,62558
44,14,민병헌,롯데,0.230,79,298,270,35,62,12,0,2,80,19,4,2,76249
45,15,신본기,롯데,0.227,51,86,75,12,17,0,0,2,23,9,1,1,62556
46,16,허일,롯데,0.217,40,69,60,4,13,3,0,1,19,5,2,0,61566
47,17,김동한,롯데,0.200,53,53,50,14,10,2,0,0,12,4,0,0,61204
48,18,강로한,롯데,0.190,16,26,21,6,4,0,0,0,4,1,0,0,65515
49,19,정보근,롯데,0.130,63,124,108,7,14,1,0,0,15,3,6,1,68518
50,20,추재현,롯데,0.125,13,28,24,3,3,0,0,0,3,0,0,0,68362
51,21,구승민,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,63543
52,21,김대우,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,78536
53,21,김원중,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0,62528
54,21,김호준,롯데,0.000,5,4,3,0,0,0,0,0,0,0,0,0,65522
55,21,배성근,롯데,0.000,1,3,3,0,0,0,0,0,0,0,0,0,64501
56,21,오현택,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,79293
57,21,이병규,롯데,0.000,1,4,4,0,0,0,0,0,0,0,0,0,76100
58,21,이인복,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,64565
59,21,진명호,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,79545
60,1,김상수,삼성,0.316,77,325,275,48,87,17,1,3,115,27,1,2,79402
61,2,박해민,삼성,0.312,85,331,308,50,96,13,3,7,136,35,4,0,62415
62,3,구자욱,삼성,0.312,73,315,276,39,86,15,0,8,125,43,0,3,62404
63,4,이성곤,삼성,0.292,51,133,120,14,35,5,0,5,55,17,2,2,64266
64,5,김동엽,삼성,0.285,68,259,242,31,69,13,0,10,112,36,1,2,66838
65,6,강민호,삼성,0.283,79,252,226,32,64,10,0,14,116,39,0,2,74540
66,7,살라디노,삼성,0.280,44,163,132,26,37,8,0,6,63,27,0,1,50468
67,8,김호재,삼성,0.279,24,49,43,4,12,2,0,0,14,4,0,0,64407
68,9,최영진,삼성,0.272,47,93,81,12,22,1,0,1,26,11,0,1,61197
69,10,이원석,삼성,0.265,81,310,264,33,70,12,0,8,106,57,1,9,75566
70,11,김지찬,삼성,0.262,88,209,187,36,49,5,1,1,59,11,4,2,50458
71,12,박승규,삼성,0.262,74,181,168,20,44,11,0,1,58,13,4,0,69418
72,13,김성표,삼성,0.250,4,4,4,0,1,0,0,0,1,0,0,0,63435
73,13,김헌곤,삼성,0.250,56,192,172,14,43,7,0,2,56,21,1,1,61404
74,15,이학주,삼성,0.228,64,243,206,30,47,11,0,4,70,28,4,5,69453
75,16,박계범,삼성,0.222,47,116,108,15,24,5,0,2,35,10,2,0,64468
76,17,박찬도,삼성,0.219,51,116,96,20,21,5,0,1,29,8,2,2,62409
77,18,김응민,삼성,0.213,35,67,61,4,13,1,0,0,14,5,1,0,60288
78,19,송준석,삼성,0.207,15,32,29,4,6,4,0,0,10,5,0,0,64469
79,20,김도환,삼성,0.200,12,20,15,0,3,2,0,0,5,5,1,2,69442
80,21,이성규,삼성,0.195,64,173,154,20,30,7,1,9,66,28,2,2,66409
81,22,김민수,삼성,0.174,17,26,23,3,4,0,0,0,4,1,1,0,64793
82,23,팔카,삼성,0.154,7,29,26,2,4,0,0,1,7,1,0,0,50469
83,24,김재현,삼성,0.100,24,12,10,2,1,0,0,0,1,3,1,0,64499
84,25,김대우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,61365
85,25,라이블리,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0,69439
86,25,백승민,삼성,0.000,7,12,9,0,0,0,0,0,0,1,0,0,64410
87,25,양우현,삼성,0.000,3,10,9,0,0,0,0,0,0,0,0,0,69403
88,25,장지훈,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,67443
89,25,홍정우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,65496
90,1,임지열,키움,1.000,1,1,1,1,1,0,0,0,1,0,0,0,64340
91,2,이정후,키움,0.343,99,437,388,64,133,36,4,14,219,75,2,6,67341
