,name,team,salary,position
404,임규빈,키움 히어로즈,2700만원,투수(우투우타)
405,허정협,키움 히어로즈,3500만원,외야수(우투우타)
406,김주온,SK 와이번스,2700만원,투수(우투우타)
407,권정웅,삼성 라이온즈,4000만원,포수(우투우타)
408,김기환,NC 다이노스,2700만원,외야수(우투좌타)
409,최정용,KIA 타이거즈,3600만원,내야수(우투좌타)
410,홍정우,삼성 라이온즈,3000만원,투수(우투우타)
411,김지수,한화 이글스,2700만원,외야수(좌투좌타)
412,김재유,롯데 자이언츠,2900만원,외야수(우투좌타)
413,차재용,키움 히어로즈,2900만원,투수(좌투좌타)
414,김대륙,롯데 자이언츠,3800만원,내야수(우투우타)
415,강태율,롯데 자이언츠,2700만원,포수(우투우타)
416,강로한,롯데 자이언츠,5300만원,외야수(우투좌타)
417,배제성,KT 위즈,11000만원,투수(우투좌타)
418,김호준,롯데 자이언츠,2700만원,포수(우투좌타)
419,전병우,키움 히어로즈,2900만원,내야수(우투우타)
420,황대인,KIA 타이거즈,3000만원,내야수(우투우타)
421,이민우,KIA 타이거즈,4300만원,투수(우투우타)
422,박동민,KIA 타이거즈,2800만원,투수(우투우타)
423,황인준,KIA 타이거즈,3700만원,투수(우투우타)
424,박정우,KIA 타이거즈,2800만원,내야수(우투좌타)
425,박정수,NC 다이노스,3000만원,투수(우언좌타)
426,문경찬,NC 다이노스,11500만원,투수(우투우타)
427,김호령,KIA 타이거즈,8500만원,외야수(우투우타)
428,이종석,KIA 타이거즈,2900만원,투수(우투우타)
429,이준영,KIA 타이거즈,4000만원,투수(좌투좌타)
430,김명찬,KIA 타이거즈,3500만원,투수(좌투좌타)
431,박준범,한화 이글스,2700만원,포수(우투우타)
432,주현상,한화 이글스,3300만원,투수(우투우타)
433,김민우,한화 이글스,4200만원,투수(우투우타)
434,김범수,한화 이글스,6500만원,투수(좌투좌타)
435,이재관,SK 와이번스,2700만원,투수(좌투좌타)
436,조한욱,KT 위즈,2800만원,투수(우투우타)
437,박세웅,삼성 라이온즈,2700만원,투수(좌투좌타)
438,이현석,SK 와이번스,3000만원,포수(우투우타)
439,신동민,SK 와이번스,2800만원,투수(우투좌타)
440,김웅빈,키움 히어로즈,3700만원,내야수(우투좌타)
441,문석종,NC 다이노스,2700만원,투수(우투우타)
442,최승민,NC 다이노스,3000만원,외야수(우투좌타)
443,송동욱,NC 다이노스,2700만원,포수(우투우타)
444,구창모,NC 다이노스,18000만원,투수(좌투좌타)
445,이호중,NC 다이노스,2700만원,투수(우투우타)
446,류진욱,NC 다이노스,2700만원,투수(우투우타)
447,이우석,상무 ,3000만원,투수(우투우타)
448,임지한,KT 위즈,2900만원,외야수(우투우타)
449,김선기,키움 히어로즈,4200만원,투수(우투우타)
450,한승지,KT 위즈,2700만원,투수(우투우타)
451,박세진,KT 위즈,3300만원,투수(좌투좌타)
452,남태혁,SK 와이번스,3000만원,내야수(우투우타)
453,김태오,상무 ,3300만원,투수(좌투좌타)
454,장현우,KT 위즈,2700만원,투수(우투우타)
